received_at_unix_s,received_at_monotonic_s,run_id,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,applied_velocity_feedforward_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,command_saturated,actuator_fault
1784742957.60366,386126.0411459,0,0,0,0,55.8025016784668,0.3580000102519989,-1.833421230316162,2.970010280609131,4.467980861663818,-1.833421230316162,3.307493209838867,2.970010280609131,644.6780395507812,0.0,0.0,592.1135864257812,-556.4382934570312,529.4454345703125,-2.114465713500977,-1.4111608266830444,-1.6922050714492798,-3.5256264209747314,-54.74456405639648,-57.714576721191406,644.6780395507812,644.6780395507812,600.0,600.0,2.499000072479248,0.0,-9437,-9671,False,False
1784742957.60575,386126.0432357,0,0,0,0,55.80500030517578,0.4490000009536743,-1.8178335428237915,6.165923595428467,11.904705047607422,-1.8178335428237915,5.529988765716553,6.165923595428467,693.088134765625,0.0,0.0,592.1135864257812,-556.4382934570312,524.3065185546875,-2.114465713500977,-1.4111608266830444,-1.70779287815094,-3.5256264209747314,-55.8825569152832,-62.04848098754883,693.088134765625,693.088134765625,600.0,600.0,2.5,2.5,-9437,-9671,False,False
1784742957.6091783,386126.0466631,0,0,0,0,55.807498931884766,0.5590000152587891,-1.808728814125061,4.168801307678223,-26.362829208374023,-1.808728814125061,4.987489700317383,4.168801307678223,669.5729370117188,0.0,0.0,592.1135864257812,-556.4382934570312,521.9635009765625,-2.114465713500977,-1.4111608266830444,-1.7168976068496704,-3.5256264209747314,-55.77448272705078,-59.94328689575195,669.5729370117188,669.5729370117188,600.0,600.0,2.5,0.0,-9434,-9668,False,False
1784742957.6093743,386126.0468622,0,0,0,0,55.810001373291016,0.6520000100135803,-1.8009589910507202,2.1950511932373047,-22.5615177154541,-1.8009589910507202,1.1024978160858154,2.1950511932373047,645.893798828125,0.0,0.0,592.1135864257812,-556.4382934570312,520.895263671875,-2.114465713500977,-1.4111608266830444,-1.7246674299240112,-3.5256264209747314,-55.62836837768555,-57.82341766357422,645.893798828125,645.893798828125,600.0,600.0,2.5,2.5,-9434,-9668,False,False
1784742957.6152003,386126.0526849,0,0,0,0,55.81250381469727,0.7620000243186951,-1.797124266624451,0.1065096259117126,31.329334259033203,-1.797124266624451,-2.08249568939209,0.1065096259117126,570.9917602539062,0.0,0.0,578.0722045898438,-520.895263671875,531.3031005859375,-1.97940194606781,-1.4111608266830444,-1.5934383869171145,-3.3905627727508545,-51.011329650878906,-51.11783981323242,570.9917602539062,570.9917602539062,800.0,800.0,2.505000114440918,0.0049999998882412,-9431,-9665,False,False
1784742957.6152885,386126.0527765,0,0,0,0,55.81499862670898,0.8360000252723694,-1.8023028373718264,-3.29297947883606,6.757080554962158,-1.8023028373718264,-5.171239376068115,-3.29297947883606,523.573486328125,0.0,0.0,578.0722045898438,-520.895263671875,536.0272827148438,-1.97940194606781,-1.4111608266830444,-1.5882598161697388,-3.3905627727508545,-50.16571807861328,-46.87273788452149,523.573486328125,523.573486328125,800.0,800.0,2.49399995803833,2.499000072479248,-9431,-9665,False,False
1784742957.617749,386126.0552337,0,0,0,0,55.81749725341797,0.949999988079071,-1.819924235343933,-7.84393835067749,1.8175636529922483,-1.819924235343933,-9.493730545043944,-7.84393835067749,456.2732238769531,0.0,0.0,578.0722045898438,-520.895263671875,538.1886596679688,-1.97940194606781,-1.4111608266830444,-1.5706384181976318,-3.3905627727508545,-48.69164276123047,-40.84770584106445,456.2732238769531,456.2732238769531,800.0,800.0,2.5,4.999000072479248,-9431,-9665,False,False
1784742957.6216044,386126.0590887,0,0,0,0,55.81999969482422,1.0520000457763672,-1.8439178466796875,-12.056915283203123,4.678590297698975,-1.8439178466796875,-14.11372184753418,-12.056915283203123,391.2255859375,0.0,0.0,578.0722045898438,-520.895263671875,550.0585327148438,-1.97940194606781,-1.4111608266830444,-1.5466448068618774,-3.3905627727508545,-47.08124923706055,-35.02433395385742,391.2255859375,391.2255859375,600.0,600.0,2.500999927520752,2.5,-9427,-9661,False,False
1784742957.6231785,386126.0606637,0,0,0,0,55.8224983215332,1.149999976158142,-1.8799911737442017,-15.848735809326172,13.482481002807615,-1.8799911737442017,-16.869966506958008,-15.848735809326172,327.5053405761719,0.0,0.0,578.0722045898438,-520.895263671875,555.4658813476562,-1.97940194606781,-1.4111608266830444,-1.5105714797973633,-3.3905627727508545,-45.16854095458984,-29.319805145263672,327.5053405761719,327.5053405761719,600.0,600.0,2.499000072479248,4.999000072479248,-9427,-9661,False,False
1784742957.6254113,386126.0628968,0,0,0,0,55.82500076293945,0.0469999983906745,-1.9393036365509035,-15.832635879516602,35.1596565246582,-1.9393036365509035,-13.886221885681152,-15.832635879516602,306.5202941894531,0.0,0.0,578.0722045898438,-520.895263671875,557.933349609375,-1.97940194606781,-1.4111608266830444,-1.4512590169906616,-3.3905627727508545,-43.27376174926758,-27.441125869750977,306.5202941894531,306.5202941894531,400.0,400.0,2.500999927520752,2.5,-9424,-9658,False,False
