Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.342m/s, acc_y=-0.287m/s, acc_z=10.068m/s, gyrv_x=0.131°/s, gyrv_y=-0.814°/s, gyrv_z=0.131°/s, time=7500.063
acc_x=-0.388m/s, acc_y=-0.304m/s, acc_z=10.062m/s, gyrv_x=0.175°/s, gyrv_y=-0.849°/s, gyrv_z=0.227°/s, time=7500.064
acc_x=-0.388m/s, acc_y=-0.317m/s, acc_z=10.067m/s, gyrv_x=-0.035°/s, gyrv_y=-0.901°/s, gyrv_z=0.175°/s, time=7500.066
acc_x=-0.378m/s, acc_y=-0.313m/s, acc_z=10.067m/s, gyrv_x=-0.000°/s, gyrv_y=-0.840°/s, gyrv_z=0.061°/s, time=7500.067
acc_x=-0.360m/s, acc_y=-0.351m/s, acc_z=10.062m/s, gyrv_x=-0.376°/s, gyrv_y=-0.770°/s, gyrv_z=0.079°/s, time=7500.068
acc_x=-0.382m/s, acc_y=-0.341m/s, acc_z=10.088m/s, gyrv_x=-0.262°/s, gyrv_y=-0.770°/s, gyrv_z=-0.166°/s, time=7500.069
acc_x=-0.373m/s, acc_y=-0.327m/s, acc_z=10.067m/s, gyrv_x=-0.245°/s, gyrv_y=-0.744°/s, gyrv_z=0.105°/s, time=7500.070
acc_x=-0.376m/s, acc_y=-0.323m/s, acc_z=10.043m/s, gyrv_x=-0.026°/s, gyrv_y=-0.849°/s, gyrv_z=0.096°/s, time=7500.071
acc_x=-0.404m/s, acc_y=-0.316m/s, acc_z=10.055m/s, gyrv_x=0.166°/s, gyrv_y=-0.612°/s, gyrv_z=-0.079°/s, time=7500.072
acc_x=-0.378m/s, acc_y=-0.343m/s, acc_z=10.071m/s, gyrv_x=-0.149°/s, gyrv_y=-0.560°/s, gyrv_z=0.079°/s, time=7500.074
acc_x=-0.380m/s, acc_y=-0.331m/s, acc_z=10.065m/s, gyrv_x=-0.114°/s, gyrv_y=-0.455°/s, gyrv_z=-0.035°/s, time=7500.075
acc_x=-0.365m/s, acc_y=-0.345m/s, acc_z=10.058m/s, gyrv_x=-0.079°/s, gyrv_y=-0.429°/s, gyrv_z=0.149°/s, time=7500.076
acc_x=-0.389m/s, acc_y=-0.333m/s, acc_z=10.068m/s, gyrv_x=0.026°/s, gyrv_y=-0.586°/s, gyrv_z=0.105°/s, time=7500.077
acc_x=-0.412m/s, acc_y=-0.376m/s, acc_z=10.062m/s, gyrv_x=0.044°/s, gyrv_y=-0.402°/s, gyrv_z=0.079°/s, time=7500.078
acc_x=-0.410m/s, acc_y=-0.343m/s, acc_z=10.048m/s, gyrv_x=0.070°/s, gyrv_y=-0.341°/s, gyrv_z=0.105°/s, time=7500.080
acc_x=-0.418m/s, acc_y=-0.377m/s, acc_z=10.092m/s, gyrv_x=-0.227°/s, gyrv_y=-0.271°/s, gyrv_z=0.184°/s, time=7500.081
acc_x=-0.431m/s, acc_y=-0.367m/s, acc_z=10.053m/s, gyrv_x=0.114°/s, gyrv_y=-0.227°/s, gyrv_z=0.376°/s, time=7500.082
acc_x=-0.422m/s, acc_y=-0.356m/s, acc_z=10.045m/s, gyrv_x=0.026°/s, gyrv_y=-0.289°/s, gyrv_z=0.367°/s, time=7500.083
acc_x=-0.434m/s, acc_y=-0.374m/s, acc_z=10.076m/s, gyrv_x=-0.289°/s, gyrv_y=-0.184°/s, gyrv_z=-0.105°/s, time=7500.084
acc_x=-0.413m/s, acc_y=-0.355m/s, acc_z=10.056m/s, gyrv_x=0.009°/s, gyrv_y=-0.096°/s, gyrv_z=0.105°/s, time=7500.086
acc_x=-0.412m/s, acc_y=-0.360m/s, acc_z=10.050m/s, gyrv_x=-0.009°/s, gyrv_y=0.096°/s, gyrv_z=0.052°/s, time=7500.087
acc_x=-0.421m/s, acc_y=-0.351m/s, acc_z=10.061m/s, gyrv_x=0.079°/s, gyrv_y=0.114°/s, gyrv_z=0.192°/s, time=7500.088
acc_x=-0.425m/s, acc_y=-0.384m/s, acc_z=10.093m/s, gyrv_x=-0.044°/s, gyrv_y=0.114°/s, gyrv_z=0.052°/s, time=7500.089
acc_x=-0.397m/s, acc_y=-0.353m/s, acc_z=10.056m/s, gyrv_x=-0.114°/s, gyrv_y=0.122°/s, gyrv_z=0.166°/s, time=7500.090
acc_x=-0.397m/s, acc_y=-0.353m/s, acc_z=10.056m/s, gyrv_x=0.087°/s, gyrv_y=0.254°/s, gyrv_z=0.114°/s, time=7500.092
acc_x=-0.402m/s, acc_y=-0.350m/s, acc_z=10.060m/s, gyrv_x=0.087°/s, gyrv_y=0.280°/s, gyrv_z=0.114°/s, time=7500.093
acc_x=-0.402m/s, acc_y=-0.378m/s, acc_z=10.092m/s, gyrv_x=0.140°/s, gyrv_y=0.376°/s, gyrv_z=0.306°/s, time=7500.094
acc_x=-0.377m/s, acc_y=-0.371m/s, acc_z=10.064m/s, gyrv_x=-0.035°/s, gyrv_y=0.394°/s, gyrv_z=0.262°/s, time=7500.095
acc_x=-0.396m/s, acc_y=-0.392m/s, acc_z=10.061m/s, gyrv_x=-0.087°/s, gyrv_y=0.420°/s, gyrv_z=0.157°/s, time=7500.096
acc_x=-0.385m/s, acc_y=-0.416m/s, acc_z=10.070m/s, gyrv_x=0.315°/s, gyrv_y=0.411°/s, gyrv_z=0.367°/s, time=7500.098
acc_x=-0.366m/s, acc_y=-0.418m/s, acc_z=10.054m/s, gyrv_x=0.201°/s, gyrv_y=0.446°/s, gyrv_z=0.376°/s, time=7500.099
acc_x=-0.383m/s, acc_y=-0.403m/s, acc_z=10.065m/s, gyrv_x=-0.052°/s, gyrv_y=0.402°/s, gyrv_z=0.201°/s, time=7500.100
acc_x=-0.332m/s, acc_y=-0.395m/s, acc_z=10.071m/s, gyrv_x=0.411°/s, gyrv_y=0.560°/s, gyrv_z=0.262°/s, time=7500.101
acc_x=-0.349m/s, acc_y=-0.385m/s, acc_z=10.064m/s, gyrv_x=0.026°/s, gyrv_y=0.420°/s, gyrv_z=0.297°/s, time=7500.102
acc_x=-0.316m/s, acc_y=-0.383m/s, acc_z=10.086m/s, gyrv_x=0.157°/s, gyrv_y=0.595°/s, gyrv_z=0.350°/s, time=7500.104
acc_x=-0.321m/s, acc_y=-0.383m/s, acc_z=10.061m/s, gyrv_x=0.262°/s, gyrv_y=0.577°/s, gyrv_z=0.236°/s, time=7500.105
acc_x=-0.294m/s, acc_y=-0.392m/s, acc_z=10.051m/s, gyrv_x=-0.324°/s, gyrv_y=0.490°/s, gyrv_z=0.332°/s, time=7500.106
acc_x=-0.297m/s, acc_y=-0.388m/s, acc_z=10.067m/s, gyrv_x=-0.044°/s, gyrv_y=0.577°/s, gyrv_z=0.437°/s, time=7500.107
acc_x=-0.301m/s, acc_y=-0.360m/s, acc_z=10.067m/s, gyrv_x=0.009°/s, gyrv_y=0.481°/s, gyrv_z=0.507°/s, time=7500.108
acc_x=-0.282m/s, acc_y=-0.352m/s, acc_z=10.067m/s, gyrv_x=-0.105°/s, gyrv_y=0.464°/s, gyrv_z=0.691°/s, time=7500.110
acc_x=-0.254m/s, acc_y=-0.382m/s, acc_z=10.079m/s, gyrv_x=0.289°/s, gyrv_y=0.490°/s, gyrv_z=0.455°/s, time=7500.111
acc_x=-0.236m/s, acc_y=-0.374m/s, acc_z=10.078m/s, gyrv_x=0.131°/s, gyrv_y=0.516°/s, gyrv_z=0.481°/s, time=7500.112
acc_x=-0.226m/s, acc_y=-0.383m/s, acc_z=10.076m/s, gyrv_x=0.026°/s, gyrv_y=0.516°/s, gyrv_z=0.516°/s, time=7500.113
acc_x=-0.232m/s, acc_y=-0.364m/s, acc_z=10.074m/s, gyrv_x=-0.219°/s, gyrv_y=0.411°/s, gyrv_z=0.227°/s, time=7500.114
acc_x=-0.216m/s, acc_y=-0.382m/s, acc_z=10.079m/s, gyrv_x=-0.271°/s, gyrv_y=0.289°/s, gyrv_z=0.297°/s, time=7500.116
acc_x=-0.203m/s, acc_y=-0.383m/s, acc_z=10.079m/s, gyrv_x=0.052°/s, gyrv_y=0.166°/s, gyrv_z=0.542°/s, time=7500.117
acc_x=-0.196m/s, acc_y=-0.364m/s, acc_z=10.080m/s, gyrv_x=-0.280°/s, gyrv_y=0.166°/s, gyrv_z=0.735°/s, time=7500.118
acc_x=-0.187m/s, acc_y=-0.381m/s, acc_z=10.068m/s, gyrv_x=-0.324°/s, gyrv_y=0.210°/s, gyrv_z=0.175°/s, time=7500.119
acc_x=-0.188m/s, acc_y=-0.393m/s, acc_z=10.068m/s, gyrv_x=-0.254°/s, gyrv_y=-0.009°/s, gyrv_z=0.297°/s, time=7500.120
acc_x=-0.194m/s, acc_y=-0.374m/s, acc_z=10.078m/s, gyrv_x=0.009°/s, gyrv_y=0.210°/s, gyrv_z=0.306°/s, time=7500.122
acc_x=-0.166m/s, acc_y=-0.347m/s, acc_z=10.068m/s, gyrv_x=-0.210°/s, gyrv_y=-0.149°/s, gyrv_z=0.411°/s, time=7500.123
