Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=0.009m/s, acc_y=0.380m/s, acc_z=-9.700m/s, gyrv_x=-0.122°/s, gyrv_y=-0.516°/s, gyrv_z=0.122°/s, time=7411.923
acc_x=0.026m/s, acc_y=0.370m/s, acc_z=-9.703m/s, gyrv_x=-0.009°/s, gyrv_y=-0.455°/s, gyrv_z=0.210°/s, time=7411.925
acc_x=0.032m/s, acc_y=0.363m/s, acc_z=-9.696m/s, gyrv_x=-0.017°/s, gyrv_y=-0.437°/s, gyrv_z=0.122°/s, time=7411.926
acc_x=0.001m/s, acc_y=0.367m/s, acc_z=-9.686m/s, gyrv_x=-0.079°/s, gyrv_y=-0.499°/s, gyrv_z=0.192°/s, time=7411.927
acc_x=0.004m/s, acc_y=0.412m/s, acc_z=-9.701m/s, gyrv_x=-0.210°/s, gyrv_y=-0.455°/s, gyrv_z=0.280°/s, time=7411.928
acc_x=0.004m/s, acc_y=0.374m/s, acc_z=-9.697m/s, gyrv_x=-0.149°/s, gyrv_y=-0.332°/s, gyrv_z=-0.009°/s, time=7411.929
acc_x=0.026m/s, acc_y=0.375m/s, acc_z=-9.704m/s, gyrv_x=-0.280°/s, gyrv_y=-0.236°/s, gyrv_z=0.227°/s, time=7411.931
acc_x=-0.016m/s, acc_y=0.395m/s, acc_z=-9.678m/s, gyrv_x=-0.219°/s, gyrv_y=-0.472°/s, gyrv_z=0.157°/s, time=7411.932
acc_x=-0.022m/s, acc_y=0.406m/s, acc_z=-9.696m/s, gyrv_x=-0.175°/s, gyrv_y=-0.385°/s, gyrv_z=-0.044°/s, time=7411.933
acc_x=0.034m/s, acc_y=0.396m/s, acc_z=-9.681m/s, gyrv_x=-0.254°/s, gyrv_y=-0.385°/s, gyrv_z=-0.044°/s, time=7411.934
acc_x=0.034m/s, acc_y=0.396m/s, acc_z=-9.681m/s, gyrv_x=0.052°/s, gyrv_y=-0.402°/s, gyrv_z=0.385°/s, time=7411.935
acc_x=0.001m/s, acc_y=0.378m/s, acc_z=-9.698m/s, gyrv_x=-0.105°/s, gyrv_y=-0.429°/s, gyrv_z=0.262°/s, time=7411.937
acc_x=0.011m/s, acc_y=0.393m/s, acc_z=-9.706m/s, gyrv_x=-0.367°/s, gyrv_y=-0.359°/s, gyrv_z=0.140°/s, time=7411.938
acc_x=0.029m/s, acc_y=0.395m/s, acc_z=-9.680m/s, gyrv_x=-0.105°/s, gyrv_y=-0.437°/s, gyrv_z=-0.026°/s, time=7411.939
acc_x=0.001m/s, acc_y=0.410m/s, acc_z=-9.687m/s, gyrv_x=-0.044°/s, gyrv_y=-0.315°/s, gyrv_z=0.149°/s, time=7411.940
acc_x=0.008m/s, acc_y=0.380m/s, acc_z=-9.692m/s, gyrv_x=-0.175°/s, gyrv_y=-0.385°/s, gyrv_z=0.052°/s, time=7411.941
acc_x=-0.004m/s, acc_y=0.373m/s, acc_z=-9.689m/s, gyrv_x=0.122°/s, gyrv_y=-0.350°/s, gyrv_z=0.061°/s, time=7411.943
acc_x=-0.002m/s, acc_y=0.378m/s, acc_z=-9.698m/s, gyrv_x=-0.017°/s, gyrv_y=-0.341°/s, gyrv_z=0.035°/s, time=7411.944
acc_x=-0.004m/s, acc_y=0.399m/s, acc_z=-9.689m/s, gyrv_x=-0.087°/s, gyrv_y=-0.551°/s, gyrv_z=0.192°/s, time=7411.945
acc_x=0.014m/s, acc_y=0.383m/s, acc_z=-9.690m/s, gyrv_x=-0.201°/s, gyrv_y=-0.507°/s, gyrv_z=0.096°/s, time=7411.946
acc_x=0.004m/s, acc_y=0.358m/s, acc_z=-9.689m/s, gyrv_x=-0.280°/s, gyrv_y=-0.429°/s, gyrv_z=0.122°/s, time=7411.947
acc_x=-0.014m/s, acc_y=0.373m/s, acc_z=-9.695m/s, gyrv_x=-0.236°/s, gyrv_y=-0.332°/s, gyrv_z=0.044°/s, time=7411.949
acc_x=-0.002m/s, acc_y=0.373m/s, acc_z=-9.695m/s, gyrv_x=-0.087°/s, gyrv_y=-0.429°/s, gyrv_z=0.087°/s, time=7411.950
acc_x=-0.007m/s, acc_y=0.391m/s, acc_z=-9.695m/s, gyrv_x=-0.271°/s, gyrv_y=-0.420°/s, gyrv_z=0.149°/s, time=7411.951
acc_x=-0.007m/s, acc_y=0.391m/s, acc_z=-9.687m/s, gyrv_x=-0.429°/s, gyrv_y=-0.534°/s, gyrv_z=-0.044°/s, time=7411.952
acc_x=0.007m/s, acc_y=0.380m/s, acc_z=-9.703m/s, gyrv_x=-0.429°/s, gyrv_y=-0.472°/s, gyrv_z=-0.035°/s, time=7411.953
acc_x=0.010m/s, acc_y=0.389m/s, acc_z=-9.695m/s, gyrv_x=0.157°/s, gyrv_y=-0.341°/s, gyrv_z=-0.052°/s, time=7411.955
acc_x=-0.003m/s, acc_y=0.389m/s, acc_z=-9.687m/s, gyrv_x=-0.026°/s, gyrv_y=-0.394°/s, gyrv_z=0.297°/s, time=7411.956
