Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=0.903m/s, acc_y=-4.397m/s, acc_z=6.685m/s, gyrv_x=63.674°/s, gyrv_y=-34.405°/s, gyrv_z=-24.115°/s, time=7060.807
acc_x=1.107m/s, acc_y=1.265m/s, acc_z=16.501m/s, gyrv_x=67.786°/s, gyrv_y=-45.474°/s, gyrv_z=-85.715°/s, time=7060.860
acc_x=-7.770m/s, acc_y=0.954m/s, acc_z=6.201m/s, gyrv_x=75.845°/s, gyrv_y=-42.962°/s, gyrv_z=-157.263°/s, time=7060.918
acc_x=-2.629m/s, acc_y=-1.268m/s, acc_z=12.239m/s, gyrv_x=-42.621°/s, gyrv_y=-15.960°/s, gyrv_z=-51.187°/s, time=7060.979
acc_x=-2.358m/s, acc_y=-2.634m/s, acc_z=11.468m/s, gyrv_x=70.927°/s, gyrv_y=17.789°/s, gyrv_z=-91.280°/s, time=7061.036
acc_x=-3.467m/s, acc_y=-3.165m/s, acc_z=8.723m/s, gyrv_x=-33.635°/s, gyrv_y=-66.561°/s, gyrv_z=-139.308°/s, time=7061.088
acc_x=-0.462m/s, acc_y=7.887m/s, acc_z=10.309m/s, gyrv_x=81.252°/s, gyrv_y=26.451°/s, gyrv_z=4.602°/s, time=7061.144
acc_x=-0.315m/s, acc_y=1.823m/s, acc_z=13.947m/s, gyrv_x=122.981°/s, gyrv_y=-46.471°/s, gyrv_z=-131.880°/s, time=7061.200
acc_x=1.747m/s, acc_y=-9.071m/s, acc_z=12.420m/s, gyrv_x=42.341°/s, gyrv_y=-17.141°/s, gyrv_z=24.395°/s, time=7061.255
acc_x=2.006m/s, acc_y=6.940m/s, acc_z=12.409m/s, gyrv_x=-39.874°/s, gyrv_y=-17.185°/s, gyrv_z=6.589°/s, time=7061.306
acc_x=-0.126m/s, acc_y=1.579m/s, acc_z=6.811m/s, gyrv_x=-19.967°/s, gyrv_y=-19.399°/s, gyrv_z=-137.917°/s, time=7061.356
acc_x=-0.994m/s, acc_y=-1.255m/s, acc_z=14.783m/s, gyrv_x=78.365°/s, gyrv_y=-64.662°/s, gyrv_z=-98.682°/s, time=7061.408
acc_x=-1.092m/s, acc_y=-2.136m/s, acc_z=8.864m/s, gyrv_x=59.561°/s, gyrv_y=-48.860°/s, gyrv_z=-154.280°/s, time=7061.466
acc_x=-1.828m/s, acc_y=-2.223m/s, acc_z=10.146m/s, gyrv_x=49.052°/s, gyrv_y=-59.500°/s, gyrv_z=-150.745°/s, time=7061.518
