frequency_hz,pitch_amplitude_deg,pitch_rate_amplitude_dps,command_amplitude_sps,raw_acc_pitch_amplitude_deg
0.0,0.0006596058090754,0.04936574135623635,0.6387960630305429,0.006418091492286789
0.019062142584826535,0.00501668442296119,0.10673232701163643,2.858848501602541,0.10603236305233123
0.03812428516965307,0.008083836675210917,0.05217789569828138,4.79216979686433,0.42186895863657486
0.0571864277544796,0.0035891481460522774,0.05517209396776083,3.124468317344865,0.6414307891738664
0.07624857033930614,0.0012120473211220044,0.007295907491057282,0.8266301731265472,0.4791727436765136
0.09531071292413268,0.002515561903518065,0.08625170799216471,0.9977519242151585,0.2351563759370448
0.1143728555089592,0.0027200545534684087,0.06037170662811332,1.505493264470029,0.34778507055945407
0.13343499809378573,0.0019366106069835178,0.09196235035726569,2.707330315939333,0.25581518693525246
0.15249714067861228,0.004558681564317314,0.10049558123013398,4.936865834009906,0.1927496571971069
0.1715592832634388,0.004651941810313829,0.014467367145355467,4.488276799740353,0.2054460774173481
0.19062142584826536,0.00500124968106239,0.04054383352777382,5.261988621943603,0.3797071529548329
0.20968356843309188,0.003036930464552693,0.03732002408054011,4.579329951673008,0.5914692395268988
0.2287457110179184,0.0030020258278845775,0.05948650291286471,2.7037161131138903,0.7504125666414422
0.24780785360274496,0.0029733040885590034,0.06418997686266353,2.0696198005701065,0.8322025062284149
0.26686999618757146,0.0030964444332670566,0.03234121691915498,4.194896944994383,0.6883233423706917
0.28593213877239804,0.003613804302933207,0.02207098760652862,4.451319842495162,0.25809493821272794
0.30499428135722456,0.003200973556585299,0.025873482698145947,0.5027849799455432,0.6810643758497019
0.3240564239420511,0.0028809718331721866,0.04293694729170839,2.701095714983873,0.635894353238607
0.3431185665268776,0.004725870802012384,0.03399282968473389,1.8195340252427956,0.1692304966794812
0.36218070911170414,0.002575249809321408,0.056161550882161314,3.0112008635514025,0.08734737118178038
0.3812428516965307,0.0013903924031778544,0.05673799471368247,4.749556214563323,0.13469392787385337
0.40030499428135724,0.0024403297416545643,0.007164971686821268,0.5989950714013108,0.07757402758649731
0.41936713686618377,0.005050948461951647,0.05686113176197855,4.155384231392991,0.11255924925504786
0.4384292794510103,0.005331403758697712,0.07730612420380137,3.883303049494005,0.2920741624105538
0.4574914220358368,0.006425209881807452,0.026917749325135666,4.271074552642564,0.5431687115412398
0.47655356462066334,0.002856414979794235,0.047859750159796585,2.0746713216261905,0.5042213591647119
0.4956157072054899,0.005182062184195185,0.07202086077059866,2.324277978962774,0.496878230461159
0.5146778497903164,0.005586994680189475,0.05536935960298354,3.6916087960042026,0.37948747419271667
0.5337399923751429,0.0031225235002580887,0.037465145146688014,3.132204207364264,0.5078965017027071
0.5528021349599695,0.001707498246155997,0.03823151662741057,1.6412658524257777,0.42256699243801454
0.5718642775447961,0.003311492669878132,0.07007687142649517,2.929508187122785,0.18406986802928407
0.5909264201296226,0.006882979020533071,0.059465638286431484,6.142459042332275,0.7056565071962756
0.6099885627144491,0.006785674349751928,0.041614648875714366,5.909100595086229,0.518459992277676
0.6290507052992756,0.005533770372959209,0.043417129121802574,5.378514182601548,0.5009404605273602
0.6481128478841022,0.004126373899291406,0.06473760162549316,2.5636492950382412,0.7048986529972778
0.6671749904689287,0.00023573285675588946,0.0765139051173349,3.3939198479362243,0.4067769692562966
0.6862371330537552,0.0031060821998887727,0.04455729735423618,3.618417547300306,0.20450328397053014
0.7052992756385817,0.002491598279809886,0.03393072250335299,0.43398918567216727,0.509234556675531
0.7243614182234083,0.0014285777936514407,0.06742241002363225,1.9833138434370279,0.6440129884345739
0.7434235608082348,0.0010240641414195398,0.025730374671531088,1.1705369520075637,0.24370954331861372
0.7624857033930614,0.0018756076011084645,0.05471593956263598,0.7064607999057232,0.689496958815472
0.781547845977888,0.003038733700795897,0.004135751589668346,2.622695518545138,0.7549447970982709
0.8006099885627145,0.0029423869965304198,0.031028226459831405,4.45071493229921,0.7806122151478885
0.819672131147541,0.0017480545069493705,0.06082098329633082,0.7364650567830221,0.5479417744438629
0.8387342737323675,0.005837783320435546,0.07482438071451437,3.922778979684792,0.49359566886199985
0.857796416317194,0.003498966718657102,0.06108928420529745,2.9068117046897757,0.5583507647487221
0.8768585589020206,0.0013198858502535672,0.025242489218474475,0.8378500791086848,1.017736782806466
0.8959207014868471,0.005155823151642487,0.08812585886177215,2.226992138484934,1.0695627734879865
0.9149828440716736,0.0027744532721289206,0.0527666679304691,1.3042957084906506,0.5937383408623231
0.9340449866565002,0.0008221156599666482,0.028959198738687953,1.1733360834731088,0.5662145981554841
0.9531071292413267,0.001468148367081065,0.016023211423918684,0.4794870542939074,0.1853688052664113
0.9721692718261533,0.002061916497991383,0.019570818769100617,2.0312644127214727,0.7164727319894698
0.9912314144109798,0.007008129546180201,0.03563208575718678,1.9350094698061235,0.8659283310110858
