t_sec,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,target_velocity_sps,vel_error,measured_vel_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,controller_saturation_flags,controller_fault_flags
52.457496,-0.8963441346396888,-0.2685920545838331,11.457647496085917,-0.8963441346396886,0.3762492373571549,-0.2685920545838331,-202.30138301849365,-0.26151480475981553,17.842369250282406,18.11096130486624,0.0,-65.37870118995389,29.43002521600587,-0.0,-0.0,2.5,2.501,2412,2412,0,0
52.460006,-0.895110357497383,0.36875489369455017,-0.6804928847409395,-0.895110357497383,-0.00874998226411988,0.36875489369455017,-193.01645755767822,-0.26151480475981553,17.64848675322825,17.279731859533705,0.0,-65.37870118995389,13.376182003983999,-400.0,-400.0,2.5100000000000002,0.011,2412,2412,0,0
52.462496,-0.8959717994660213,-1.4143105035409649,-0.9494011625377966,-0.8959717994660213,-2.4587450162176863,-1.4143105035409647,-218.1821584701538,-0.26151480475981553,18.118373477659006,19.53268398119997,0.0,-65.37870118995389,6.11790117389554,-400.0,-400.0,2.49,2.501,2412,2412,0,0
52.464994,-0.8989318090170205,-1.8947418890991872,0.47336706889572466,-0.8989318090170205,-2.0037459384834526,-1.8947418890991872,-225.81603527069092,-0.26151480475981553,18.321361591476535,20.216103480575722,0.0,-65.37870118995389,2.7911375797133373,-400.0,-400.0,2.4979999999999998,4.999,2412,2412,0,0
52.467495,-0.9015951355512702,-1.1781471538067043,0.07768640567436544,-0.9015951355512702,-0.4899990067907133,-1.1781471538067043,-216.64350032806396,-0.26151480475981553,18.21678605061241,19.394933204419115,0.0,-65.37870118995389,-31.3794658718667,-200.0,-200.0,2.5010000000000003,2.5,2410,2410,0,0
52.469998,-0.9017827121986934,-0.9787794914792214,0.0043140607811528375,-0.9017827121986935,-1.6624966301827773,-0.9787794914792214,-213.91847133636475,-0.26151480475981553,18.17219628115839,19.150975772637608,0.0,-65.37870118995389,-66.14895146675359,-200.0,-200.0,2.503,0.003,2409,2409,0,0
52.472497,-0.8945886900713056,3.027004149055848,21.111384599599898,-0.8945886900713056,3.517492870176192,3.027004149055848,-155.73714971542358,-0.26151480475981553,16.969317751457762,13.94231360240191,0.0,-65.37870118995389,-81.97009150533907,-200.0,-200.0,2.499,2.502,2409,2409,0,0
52.474994,-0.8841802979870979,4.177981172917491,-22.87556400393319,-0.8841802979870979,3.8587421784768674,4.177981172917491,-136.41111850738525,-0.26151480475981553,16.390138517134535,12.212157344217044,0.0,-65.37870118995389,-89.18201619317267,-200.0,-200.0,2.497,4.999,2409,2409,0,0
52.477496,-0.8764935839568746,3.610010183439479,-20.881130247317927,-0.8764935839568746,3.709992479986829,3.610010183439479,-335.3008270263672,0.35672806477269065,33.627703618567956,30.017693435128482,0.0,89.18201619317267,-102.8459855315574,-200.0,-200.0,2.502,2.501,2408,2408,0,0
52.479995,-0.8588677555658969,8.587715230088772,19.135589383000962,-0.8588677555658968,10.578728557320936,8.587715230088772,-260.2862596511841,0.35672806477269065,31.889754161958262,23.302038931869486,0.0,89.18201619317267,-119.42724009377636,-200.0,-200.0,2.499,0.0,2407,2407,0,0
