t_sec,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,target_velocity_sps,vel_error,measured_vel_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,controller_saturation_flags,controller_fault_flags
10.002494,-0.5896714922364967,2.3044250690444557,-7.866048254841089,-0.5896714922364966,3.736242426779189,2.3044250690444557,229.1217565536499,-1.219368427635035,-18.207620458420184,-20.51204552746464,0.0,-304.84210690875875,291.33002258625874,200.0,200.0,2.499,2.498,2429,2429,0,0
10.012495,-0.5527653492070287,5.621227617405492,0.4472865720132775,-0.5527653492070287,6.754986307900547,5.621227617405492,286.97593212127686,-1.219368427635035,-20.070193100335548,-25.69142071774104,0.0,-304.84210690875875,262.38387470465307,200.0,200.0,2.5,2.499,2431,2431,0,0
10.024999,-0.5233192964021958,-0.595434089799409,14.264736716363517,-0.5233192964021958,0.36749925509303494,-0.595434089799409,167.01958179473877,-1.0839143498841417,-15.547802975044632,-14.952368885245225,0.0,-270.9785874710354,264.9961302520527,200.0,200.0,2.506,0.003,2435,2435,0,0
10.032494,-0.5444065980682399,-3.3392767382188993,-16.240100996212803,-0.5444065980682399,-2.476244980745926,-3.3392767382188993,122.11296558380127,-1.0839143498841417,-14.271397866290522,-10.932121128071623,0.0,-270.9785874710354,244.6318702861665,200.0,200.0,2.4979999999999998,2.498,2436,2436,0,0
10.044999,-0.5079631678448759,10.866218834242185,-4.45848043453015,-0.5079631678448759,12.328725010144911,10.866218834242183,331.8572759628296,-1.0839143498841417,-18.843187805659984,-29.709406639902166,0.0,-270.9785874710354,204.63562279745773,400.0,400.0,2.506,0.003,2438,2438,0,0
10.052494,-0.43134539168551767,3.8751745584318997,28.215577822511335,-0.43134539168551767,2.248745441878809,3.8751745584318997,175.20856857299805,-0.818542491189831,-11.810312425728744,-15.685486984160642,0.0,-204.63562279745773,211.3212935115467,200.0,200.0,2.5,2.498,2440,2440,0,0
10.062495,-0.5321600639597521,-18.903012215813664,-4.23842321091644,-0.5321600639597522,-18.681212133895944,-18.903012215813664,-174.36602115631104,-0.818542491189831,-3.2929549084887877,15.610057307324876,0.0,-204.63562279745773,203.5620185939015,-0.0,-0.0,2.5010000000000003,0.001,2441,2441,0,0
10.072494,-0.6663446674772874,-5.191813693463189,-6.987837247391512,-0.6663446674772874,-2.8437442358389613,-5.19181369346319,-35.169681906700134,-0.7856737299131504,-2.043260324838367,3.1485533686248224,0.0,-196.4184324782876,153.0989213941539,-200.0,-200.0,2.4979999999999998,0.0,2441,2441,0,0
10.085014,-0.5807450670374017,12.03240038989744,-5.666001319972026,-0.5807450670374017,12.984973679953903,12.03240038989744,232.09810256958008,-0.7856737299131504,-8.746102657995324,-20.778503047892762,0.0,-196.4184324782876,85.5816561545158,200.0,200.0,2.521,0.019,2440,2440,0,0
10.092494,-0.5058780355163082,6.699712278980817,-31.020020148251398,-0.5058780355163082,5.109989642246011,6.699712278980817,42.39279925823212,-0.3423266246180632,2.9045114354056545,-3.7952008435751625,0.0,-85.5816561545158,73.95448945936468,200.0,200.0,2.4979999999999998,2.499,2441,2441,0,0
10.102494,-0.5414047830108625,-6.882783062996791,-6.334196173335874,-0.5414047830108625,-6.737486343372308,-6.882783062996791,-158.36607217788696,-0.3423266246180632,7.294884200747577,14.177667263744368,0.0,-85.5816561545158,62.463843093715056,-0.0,-0.0,2.5010000000000003,2.479,2442,2442,0,0
10.112494,-0.5609313757115229,5.030204409658068,6.457774344567011,-0.5609313757115229,7.691234410161375,5.030204409658068,-62.936931848526,-0.13513986705882994,10.664611139860883,5.634406730202817,0.0,-33.784966764707484,11.98159046394449,-0.0,-0.0,2.5,2.479,2441,2441,0,0
