t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.002491,3.0793061363185643,37.76316723844792,2981.8185806274414,0.0,2837.495531310508,3000.0,3000.0,3,0,2.5,2.499,9052,9052
0.022492,3.9838216804001276,45.31435089081138,3066.166114807129,0.0,2957.6759452033625,3000.0,3000.0,3,0,2.5010000000000003,2.5,9113,9113
0.042491,5.018083246205835,49.15764169685694,3109.096145629883,0.0,3049.9697515892626,3200.0,3200.0,3,0,2.5,2.499,9175,9175
0.060041,5.838588472291407,35.08258710442398,2951.8762588500977,0.0,3108.9400424678533,3000.0,3000.0,3,0,2.5500000000000003,0.049,9238,9238
0.082491,6.54846106817215,29.797433010239608,2892.840576171875,0.0,3070.36753242067,2800.0,2800.0,3,0,2.5,2.499,9297,9297
0.102491,7.01419218829243,8.798578083017114,2658.2809448242188,0.0,2971.342654016455,2800.0,2800.0,3,0,2.5,2.499,9354,9354
0.12249,7.091275338393851,6.321516942047529,2630.611991882324,0.0,2797.242529296113,2800.0,2800.0,3,0,2.493,2.498,9407,9407
0.14249,7.0163037071581025,-1.6313081179091655,2541.7781829833984,0.0,2689.652923055748,2600.0,2600.0,3,0,2.499,2.498,9459,9459
0.162491,6.782975893988806,-20.505285353349514,2330.953788757324,0.0,2571.46293383577,2200.0,2200.0,3,0,2.5010000000000003,2.499,9510,9510
0.180009,6.526467726227503,-15.828567224485585,2383.1932067871094,0.0,2477.7367798744613,2400.0,2400.0,3,0,2.519,0.017,9557,9557
0.20249,6.067533625255519,-15.350711208128889,2388.530921936035,0.0,2411.114962284792,2400.0,2400.0,2,0,2.499,2.498,9604,9604
0.222491,5.615880694152812,-19.184151251842085,2345.7109451293945,0.0,2367.71975827433,2200.0,2200.0,2,0,2.5,2.499,9651,9651
0.242491,5.133252513406582,-19.29340178174389,2344.490623474121,0.0,2329.1676633226343,2200.0,2200.0,2,0,2.5010000000000003,2.499,9697,9697
0.26,4.768938241119914,-30.37977986336266,2220.6546783447266,0.0,2319.823409836355,2200.0,2200.0,2,0,2.508,0.008,9744,9744
0.282492,4.230416499449383,-18.691032543450778,2351.2191772460938,0.0,2307.3026292258646,2400.0,2400.0,2,0,2.5010000000000003,2.5,9789,9789
0.302542,3.8973721533671584,-16.27040897122509,2378.2577514648438,0.0,2326.942620566145,2400.0,2400.0,2,0,2.552,2.55,9836,9836
0.322491,3.657708507547731,-2.8680192942860603,2527.9638290405273,0.0,2338.1175698484594,2600.0,2600.0,2,0,2.5,2.499,9883,9883
0.342487,3.5599186444571873,-12.01729623611878,2425.765609741211,0.0,2410.0008609878523,2400.0,2400.0,2,0,2.4979999999999998,2.495,9934,9934
0.36249,3.3769159399346274,-6.166168648582785,2491.1231994628906,0.0,2457.905309427553,2400.0,2400.0,2,0,2.499,2.498,9983,9983
0.382491,3.278497033682856,-7.133656631880828,2480.3163528442383,0.0,2488.3269847045954,2400.0,2400.0,2,0,2.5,2.499,10033,10033
0.4,3.1860030331954117,-7.080036963595688,2480.9152603149414,0.0,2495.8894590118857,2600.0,2600.0,2,0,2.509,0.008,10083,10083
0.422502,2.948515422301453,-6.813166857208523,2483.896255493164,0.0,2489.083807086731,2400.0,2400.0,2,0,2.511,2.51,10132,10132
0.442492,2.8218437043887805,-9.854775109485828,2449.921226501465,0.0,2479.9191853597245,2400.0,2400.0,2,0,2.5,2.5,10182,10182
0.462491,2.6844711389794083,0.27926468080609557,2563.1195068359375,0.0,2452.858581744394,2400.0,2400.0,2,0,2.5,2.499,10231,10231
0.48249,2.5818930205398005,-18.216049930115364,2356.5248489379883,0.0,2498.72666857207,2600.0,2600.0,2,0,2.499,2.498,10282,10282
0.50249,2.474442999956856,-1.4464092664155253,2543.843460083008,0.0,2498.379037264228,2600.0,2600.0,2,0,2.5010000000000003,2.498,10331,10331
0.522491,2.3148803757555467,-9.666134064006357,2452.028274536133,0.0,2508.6081784225375,2400.0,2400.0,2,0,2.5,2.499,10381,10381
0.54249,2.2252159977088293,-2.7721549178311977,2529.0348052978516,0.0,2472.8302828627093,2600.0,2600.0,2,0,2.5,2.498,10430,10430
0.56251,2.202394522279854,-1.5895508203221291,2542.244529724121,0.0,2492.6278708623254,2600.0,2600.0,2,0,2.519,2.518,10481,10481
0.582491,1.9858307976870047,1.4853824761631855,2576.5918731689453,0.0,2508.9253037192416,2400.0,2400.0,3,0,2.5,2.499,10531,10531
0.602492,1.8852122281597692,-9.975011672477947,2448.5780715942383,0.0,2503.993169101138,2600.0,2600.0,3,0,2.5,2.5,10581,10581
0.622493,1.7801067981775962,-3.352638788722154,2522.5507736206055,0.0,2470.340697854352,2600.0,2600.0,3,0,2.502,2.501,10630,10630
0.642498,1.7023513551351919,-8.680097440643467,2463.042449951172,0.0,2499.7582163225006,2400.0,2400.0,2,0,2.506,2.506,10681,10681
0.662491,1.754762861521355,-3.6839790688757734,2518.849563598633,0.0,2515.53112094059,2600.0,2600.0,2,0,2.499,2.499,10732,10732
0.682496,1.574407732867055,-2.9155885140963016,2527.432632446289,0.0,2530.5574233405714,2600.0,2600.0,3,0,2.505,2.504,10782,10782
0.70249,1.6003357725093912,-3.9677307167682163,2515.6801223754883,0.0,2539.511840789938,2600.0,2600.0,3,0,2.4979999999999998,2.498,10833,10833
0.72249,1.5733345118219657,6.130740845142096,2628.481101989746,0.0,2521.8946928874743,2600.0,2600.0,3,0,2.499,2.498,10884,10884
0.742491,1.727052921063489,4.054220237168362,2605.2860260009766,0.0,2581.290038050909,2600.0,2600.0,3,0,2.5,2.499,10937,10937
0.762491,1.6805840390760678,3.415046039563657,2598.146438598633,0.0,2581.860069286209,2400.0,2400.0,3,0,2.499,2.499,10988,10988
0.78249,1.7314994509215265,-1.8575835476312283,2539.2507553100586,0.0,2580.0034746642955,2600.0,2600.0,3,0,2.499,2.498,11039,11039
0.802491,1.7256539141130471,0.20437858661185257,2562.283134460449,0.0,2540.787873851447,2600.0,2600.0,3,0,2.5010000000000003,2.499,11090,11090
0.82249,1.7783406310178231,0.5395431848689627,2566.0266876220703,0.0,2558.462687960769,2600.0,2600.0,3,0,2.499,2.498,11141,11141
0.842491,1.8179709794034826,3.0397048756328946,2593.9538955688477,0.0,2570.8783675042464,2600.0,2600.0,3,0,2.5,2.499,11193,11193
0.862493,1.8636820967490306,1.484253915775223,2576.5792846679688,0.0,2590.872804200442,2400.0,2400.0,3,0,2.503,2.501,11245,11245
0.88249,1.8848982144399704,0.30647889428500014,2563.423538208008,0.0,2580.0648816495504,2600.0,2600.0,3,0,2.499,2.498,11296,11296
0.90249,1.889522238328801,1.6594439653221078,2578.536033630371,0.0,2569.1188837180853,2600.0,2600.0,3,0,2.5,2.498,11347,11347
0.92249,1.886154179065927,1.5525429095844145,2577.3420333862305,0.0,2568.2741068132395,2600.0,2600.0,3,0,2.499,2.498,11398,11398
0.94249,1.9272608776911462,1.6302148131660188,2578.2094955444336,0.0,2560.01545142063,2600.0,2600.0,3,0,2.499,2.498,11450,11450
0.96249,2.000273420887407,3.5545179821234347,2599.704360961914,0.0,2579.605971394911,2600.0,2600.0,3,0,2.499,2.498,11502,11502
0.98249,2.0607361768079318,2.9320341111992874,2592.751121520996,0.0,2599.6050828981633,2600.0,2600.0,3,0,2.499,2.498,11554,11554
1.00249,2.0829115634604363,-1.116848269125167,2547.524833679199,0.0,2580.393443790911,2600.0,2600.0,3,0,2.499,2.498,11605,11605
