received_at_unix_s,received_at_monotonic_s,run_id,seed,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,command_saturated,actuator_fault,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,plant_pitch_deg,plant_pitch_rate_dps,plant_position_m,plant_velocity_mps,target_wheel_velocity,actual_wheel_velocity,plant_velocity_error,f_cmd,f_app,external_force_n,external_com_bias_rad,x_ddot,theta_ddot,force_saturated,phase_error_steps,missed_steps,traction_limit_n,motor_force_limit_n,total_mass_scale,pitch_inertia_scale,motor_max_force_n,motor_no_load_speed_mps,motor_velocity_damping,motor_tau_s,traction_coefficient,pitch_damping,cart_damping,phase_error_limit_steps,tire_stiffness_n_per_m,tire_damping_n_s_per_m,wheel_equivalent_mass_kg
1784671583.6044629,314750.498103,0,0,8,0,0,51.225003,0.7969999999999999,50.8411616670492,167.94197044233246,170.0877596100497,50.84116166704919,169.32965677524794,167.9419704423325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.8411616670492,0.0,0.0,-167.94197044233246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.8411616670492,167.94197044233246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6049097,314750.4985466,0,0,8,0,0,51.227503,0.895,51.25149866710727,170.43013813058806,168.02432288046396,51.25149866710727,171.3946525895802,170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25149866710727,0.0,0.0,-170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51.25149866710727,170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.612527,314750.506164,0,0,8,0,0,51.230004,0.993,51.66666257904767,172.25397131613855,168.59394911720457,51.66666257904766,173.0133993084424,172.25397131613855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.66666257904767,0.0,0.0,-172.25397131613855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51.66666257904767,172.25397131613855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6126468,314750.5062884,0,0,8,0,0,51.232503,1.092,52.0870480968948,175.20655672631202,171.0938613548787,52.0870480968948,176.9683912918246,175.20655672631204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.0870480968948,0.0,0.0,-175.20655672631202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,52.0870480968948,175.20655672631202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6127388,314750.5063802,0,0,8,0,0,51.235002,1.192,52.51410735260083,178.0546002685663,170.56463326122645,52.51410735260083,179.82963549219178,178.0546002685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.51410735260083,0.0,0.0,-178.0546002685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,52.51410735260083,178.0546002685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6138911,314750.5075306,0,0,8,0,0,51.237504,0.077,53.168804180162105,180.90212865720403,167.01493728161728,53.168804180162105,181.43963222878983,180.9021286572041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.168804180162105,0.0,0.0,-180.90212865720403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,53.168804180162105,180.90212865720403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.616274,314750.5099132,0,0,8,0,0,51.240026,0.204,53.60654691887148,182.14911700259523,166.46236227955254,53.60654691887148,182.71712963935133,182.14911700259523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.60654691887148,0.0,0.0,-182.14911700259523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,53.60654691887148,182.14911700259523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6198936,314750.5135314,0,0,8,0,0,51.242504,0.292,54.0451662412332,182.67031146204144,166.57161140264927,54.0451662412332,182.8308794087849,182.67031146204144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0451662412332,0.0,0.0,-182.67031146204144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,54.0451662412332,182.67031146204144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6208224,314750.514462,0,0,8,0,0,51.245003,0.367,54.49131887556722,183.30380502276745,169.8967410474264,54.49131887556722,183.63587777708392,183.30380502276745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.49131887556722,0.0,0.0,-183.30380502276745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,54.49131887556722,183.30380502276745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.62342,314750.517061,0,0,8,0,0,51.247502,0.478,54.93303252098894,184.25264697202147,171.10177849115396,54.93303252098894,184.65087571972185,184.25264697202147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.93303252098894,0.0,0.0,-184.25264697202147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,54.93303252098894,184.25264697202147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
