received_at_unix_s,received_at_monotonic_s,run_id,seed,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,command_saturated,actuator_fault,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,plant_pitch_deg,plant_pitch_rate_dps,plant_position_m,plant_velocity_mps,target_wheel_velocity,actual_wheel_velocity,plant_velocity_error,f_cmd,f_app,external_force_n,external_com_bias_rad,x_ddot,theta_ddot,force_saturated,phase_error_steps,missed_steps,traction_limit_n,motor_force_limit_n,total_mass_scale,pitch_inertia_scale,motor_max_force_n,motor_no_load_speed_mps,motor_velocity_damping,motor_tau_s,traction_coefficient,pitch_damping,cart_damping,phase_error_limit_steps,tire_stiffness_n_per_m,tire_damping_n_s_per_m,wheel_equivalent_mass_kg
1784671657.369109,314824.2627499,0,0,8,0,0,3.802497,0.662,179.72914356782735,179.55644940365548,171.8855980972474,179.72914356782735,181.597131909544,179.55644940365548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.72914356782735,0.0,0.0,-179.55644940365548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,179.72914356782735,179.55644940365548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3693142,314824.2629557,0,0,8,0,0,3.804997,0.763,-179.83048073472602,184.85136777601195,163.35851924987298,-179.83048073472602,187.13587068273188,184.85136777601195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.83048073472602,0.0,0.0,-184.85136777601195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-179.83048073472602,184.85136777601195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3694527,314824.2630937,0,0,8,0,0,3.807497,0.86,-179.3799052111669,188.2301068936769,161.97293768717563,-179.3799052111669,189.51586585857248,188.2301068936769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.3799052111669,0.0,0.0,-188.2301068936769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-179.3799052111669,188.2301068936769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3695278,314824.2631694,0,0,8,0,0,3.809997,0.962,-178.9225015271129,191.7250586243206,172.1871827165004,-178.9225015271129,193.47085784195468,191.7250586243206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.9225015271129,0.0,0.0,-191.7250586243206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-178.9225015271129,191.7250586243206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3774154,314824.2710537,0,0,8,0,0,3.812497,1.06,-178.45283047471207,196.79150108023785,164.90829257132376,-178.45283047471207,199.0270965796708,196.7915010802378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.45283047471207,0.0,0.0,-196.79150108023785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-178.45283047471207,196.79150108023785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3779478,314824.2715863,0,0,8,0,0,3.814998,1.158,-177.97422877688285,199.67900636222535,157.5755206204806,-177.97422877688285,200.58459342268412,199.67900636222535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.97422877688285,0.0,0.0,-199.67900636222535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-177.97422877688285,199.67900636222535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.379954,314824.2735934,0,0,8,0,0,3.817497,0.057,-177.24396806856956,204.99424205694217,171.4031619022654,-177.24396806856953,207.05083031586872,204.99424205694217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.24396806856956,0.0,0.0,-204.99424205694217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-177.24396806856956,204.99424205694217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3801186,314824.2737597,0,0,8,0,0,3.819997,0.156,-176.7429713169865,209.82145181545263,166.88356387460854,-176.7429713169865,211.8808205256629,209.82145181545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.7429713169865,0.0,0.0,-209.82145181545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-176.7429713169865,209.82145181545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3810945,314824.2747338,0,0,8,0,0,3.822497,0.254,-176.23175578812612,213.6887457443894,163.98889146229553,-176.23175578812612,215.21456376829255,213.68874574438937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.23175578812612,0.0,0.0,-213.6887457443894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-176.23175578812612,213.6887457443894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671657.3840728,314824.277711,0,0,8,0,0,3.824997,0.354,-175.71308162415292,216.9436490034444,168.34697336680338,-175.7130816241529,218.4170572769605,216.9436490034444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.71308162415292,0.0,0.0,-216.9436490034444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-175.71308162415292,216.9436490034444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
