frame,video_time_s,video_pts,act_mean,act_max,act_p95,laser_x_px,laser_y_px,laser_integrated_brightness,laser_peak_brightness,laser_width_px,laser_confidence,laser_note
47,1.564277780,140785,41.291666700,107,96.950000000,666.783294000,467.912841000,429549.000000000,207.572000000,56.994149100,1.000000000,saturated
48,1.597122220,143741,41.875000000,108,97.950000000,666.837836000,467.821917000,434506.219000000,207.686000000,57.031598600,1.000000000,saturated
49,1.630455560,146741,41.916666700,105,94.800000000,666.675478000,467.831206000,431595.619000000,208.273000000,56.993738000,1.000000000,saturated
50,1.663788890,149741,41.750000000,105,96.200000000,666.649127000,467.978292000,424295.381000000,207.914000000,56.716787900,1.000000000,saturated
51,1.697122220,152741,41.583333300,106,97.900000000,666.539997000,467.999482000,430736.000000000,209.316000000,56.809063800,1.000000000,saturated
52,1.730455560,155741,42.333333300,107,99.750000000,666.551647000,467.991088000,426856.000000000,209.316000000,56.674051700,1.000000000,saturated
53,1.763788890,158741,41.625000000,106,98.750000000,666.549758000,467.937886000,426235.000000000,208.615000000,56.674858600,1.000000000,saturated
54,1.797122220,161741,42.166666700,107,100.600000000,666.474988000,467.782801000,430569.000000000,208.615000000,56.834567300,1.000000000,saturated
55,1.830455560,164741,40.958333300,103,99.300000000,666.593877000,467.947714000,433845.419000000,209.316000000,57.067041700,1.000000000,saturated
56,1.863311110,167698,40.125000000,102,99.150000000,666.601190000,467.980376000,433208.819000000,209.316000000,56.951986100,0.999966760,saturated
57,1.896644440,170698,40.041666700,106,99.600000000,666.579317000,468.065770000,440961.000000000,211.419000000,57.199053200,1.000000000,saturated
58,1.929977780,173698,41.250000000,105,100.450000000,666.634307000,468.053433000,441469.000000000,209.316000000,57.262079400,1.000000000,saturated
59,1.963311110,176698,41.083333300,103,100.300000000,666.467405000,468.063089000,444486.000000000,210.946000000,57.353266800,1.000000000,saturated
60,1.996644440,179698,39.958333300,106,99.900000000,666.535668000,467.900750000,436623.619000000,210.832000000,57.228277000,1.000000000,saturated
61,2.029977780,182698,39.333333300,106,99.750000000,666.396730000,467.921577000,437631.219000000,210.832000000,57.250883500,1.000000000,saturated
62,2.063311110,185698,39.875000000,107,100.750000000,666.469777000,467.970821000,436883.019000000,210.131000000,57.169400900,1.000000000,saturated
63,2.096644440,188698,40.083333300,107,99.900000000,666.404102000,468.021309000,436458.019000000,209.088000000,57.040385900,1.000000000,saturated
64,2.129500000,191655,39.125000000,108,99.900000000,666.383590000,468.137730000,430561.000000000,208.028000000,56.819372900,1.000000000,saturated
65,2.162833330,194655,38.541666700,106,99.900000000,666.356854000,468.276960000,435608.019000000,209.903000000,57.095678100,1.000000000,saturated
66,2.196166670,197655,38.625000000,106,98.900000000,666.503589000,468.306816000,430982.000000000,209.202000000,57.008767700,1.000000000,saturated
67,2.229500000,200655,37.625000000,106,98.050000000,666.531255000,468.296383000,431111.000000000,209.202000000,56.978103000,1.000000000,saturated
68,2.262833330,203655,38.250000000,107,98.200000000,666.683144000,468.242572000,428895.000000000,208.615000000,56.980526400,1.000000000,saturated
69,2.296166670,206655,38.708333300,106,96.200000000,666.756436000,468.085151000,426713.000000000,208.843000000,56.775728400,1.000000000,saturated
70,2.329500000,209655,37.333333300,105,90.750000000,666.699420000,468.197915000,415637.604000000,209.316000000,56.302993200,1.000000000,saturated
71,2.362833330,212655,36.625000000,105,90.750000000,666.814856000,468.337619000,417437.003000000,206.512000000,56.417695500,1.000000000,saturated
72,2.395677780,215611,36.125000000,105,90.600000000,666.870995000,468.371837000,406847.619000000,207.669000000,56.000785500,1.000000000,saturated
73,2.429011110,218611,35.625000000,104,89.600000000,666.841508000,468.399728000,412329.996000000,207.800000000,56.181223500,1.000000000,saturated
74,2.462344440,221611,34.791666700,104,89.300000000,666.842473000,468.458196000,412144.996000000,206.968000000,56.231872300,1.000000000,saturated
75,2.495677780,224611,35.625000000,100,90.450000000,666.683677000,468.441378000,426804.000000000,211.647000000,56.604188300,1.000000000,saturated
76,2.529011110,227611,36.041666700,100,90.450000000,666.655095000,468.308434000,428147.000000000,211.647000000,56.603603900,1.000000000,saturated
77,2.562344440,230611,36.666666700,102,91.600000000,666.639530000,468.253108000,427889.000000000,211.647000000,56.616221500,1.000000000,saturated
78,2.595677780,233611,36.750000000,102,92.300000000,666.663934000,468.217340000,428431.000000000,211.647000000,56.689954700,1.000000000,saturated
79,2.629011110,236611,36.750000000,101,91.450000000,666.614325000,468.263229000,430500.000000000,211.647000000,56.681095200,1.000000000,saturated
80,2.661866670,239568,37.666666700,101,89.600000000,666.795057000,468.266034000,421155.803000000,209.658000000,56.372861000,1.000000000,saturated
81,2.695200000,242568,37.625000000,101,89.600000000,666.812097000,468.260884000,420718.403000000,209.316000000,56.393644300,1.000000000,saturated
82,2.728533330,245568,37.166666700,99,91.000000000,666.724669000,468.198089000,431387.000000000,209.316000000,56.763287700,1.000000000,saturated
83,2.761866670,248568,37.333333300,97,90.000000000,666.732796000,468.157241000,430383.000000000,209.316000000,56.792530600,1.000000000,saturated
84,2.795200000,251568,37.125000000,97,90.000000000,666.799139000,468.224817000,427464.000000000,209.316000000,56.804876000,1.000000000,saturated
85,2.828533330,254568,37.708333300,99,91.000000000,666.809258000,468.235839000,427699.000000000,206.740000000,56.779881400,1.000000000,saturated
86,2.861866670,257568,37.541666700,98,90.850000000,666.689749000,468.301008000,428763.000000000,207.213000000,56.750165200,1.000000000,saturated
87,2.895200000,260568,36.791666700,101,91.450000000,666.815722000,468.246455000,427274.000000000,206.740000000,56.825125000,1.000000000,saturated
88,2.928066670,263526,36.750000000,102,91.450000000,666.921412000,468.396448000,419431.619000000,209.316000000,56.530560200,1.000000000,saturated
89,2.961400000,266526,36.750000000,102,91.450000000,666.903224000,468.481307000,418690.219000000,206.871000000,56.615506500,1.000000000,saturated
90,2.994733330,269526,36.458333300,104,91.200000000,667.168328000,468.442762000,402435.000000000,205.583000000,56.143581500,1.000000000,saturated
91,3.028066670,272526,36.125000000,102,90.200000000,667.158660000,468.560211000,402011.000000000,205.583000000,56.145352900,1.000000000,saturated
92,3.061400000,275526,36.833333300,102,91.050000000,667.048698000,468.590961000,405463.818000000,206.284000000,56.273928300,1.000000000,saturated
93,3.094733330,278526,37.416666700,102,91.750000000,666.922754000,468.516930000,407243.619000000,206.284000000,56.347675700,1.000000000,saturated
94,3.128066670,281526,37.500000000,101,91.600000000,666.802099000,468.510092000,413015.997000000,206.985000000,56.436200500,1.000000000,saturated
95,3.161400000,284526,36.583333300,99,91.300000000,666.814432000,468.608367000,417818.203000000,206.985000000,56.434554900,1.000000000,saturated
96,3.194244440,287482,36.833333300,100,92.150000000,666.745547000,468.543164000,419152.603000000,206.985000000,56.440480700,1.000000000,saturated
97,3.227577780,290482,36.875000000,106,95.550000000,666.744575000,468.536668000,419850.603000000,207.686000000,56.440444800,1.000000000,saturated
98,3.260911110,293482,37.458333300,106,95.700000000,666.809632000,468.528847000,419511.203000000,206.985000000,56.403341300,1.000000000,saturated
99,3.294244440,296482,37.500000000,105,95.550000000,666.788782000,468.480940000,420324.203000000,207.686000000,56.475124900,1.000000000,saturated
100,3.327577780,299482,37.791666700,116,98.400000000,666.718020000,468.334611000,413607.596000000,204.654000000,56.382431200,1.000000000,saturated
101,3.360911110,302482,37.333333300,115,97.550000000,666.753470000,468.338246000,412731.796000000,204.654000000,56.313161000,1.000000000,saturated
102,3.394244440,305482,36.166666700,117,98.550000000,666.822178000,468.297283000,411839.396000000,205.697000000,56.411647600,1.000000000,saturated
103,3.427577780,308482,36.375000000,116,98.400000000,666.779609000,468.438186000,418122.803000000,206.056000000,56.556102300,1.000000000,saturated
104,3.460433330,311439,37.000000000,117,99.400000000,666.823449000,468.334443000,417393.403000000,205.355000000,56.581661500,1.000000000,saturated
105,3.493766670,314439,37.541666700,120,102.350000000,666.759659000,468.323032000,416626.403000000,206.871000000,56.637225300,1.000000000,saturated
106,3.527100000,317439,37.500000000,114,98.350000000,666.771656000,468.334597000,419063.003000000,206.871000000,56.777536900,1.000000000,saturated
107,3.560433330,320439,37.125000000,105,96.750000000,666.713994000,468.301494000,421461.603000000,206.056000000,56.902638600,1.000000000,saturated
108,3.593766670,323439,38.208333300,106,97.900000000,666.672302000,468.311525000,433375.000000000,207.686000000,57.227026800,1.000000000,saturated
109,3.627100000,326439,37.958333300,105,99.750000000,666.635605000,468.355661000,435108.000000000,206.985000000,57.263657200,1.000000000,saturated
110,3.660433330,329439,39.875000000,108,101.950000000,666.778015000,468.249832000,426973.403000000,207.686000000,57.093717100,1.000000000,saturated
111,3.693766670,332439,40.583333300,108,102.800000000,666.774931000,468.169333000,427057.603000000,206.985000000,57.042118900,1.000000000,saturated
112,3.726622220,335396,40.958333300,108,103.800000000,666.779728000,468.096444000,432811.000000000,206.985000000,57.168650900,1.000000000,saturated
113,3.759955560,338396,40.541666700,107,102.800000000,666.792837000,468.057569000,434229.000000000,206.985000000,57.248410400,1.000000000,saturated
114,3.793288890,341396,40.166666700,107,102.650000000,666.666469000,468.003158000,437584.000000000,208.501000000,57.434011900,1.000000000,saturated
115,3.826622220,344396,39.500000000,106,101.650000000,666.768459000,467.903077000,437906.000000000,207.800000000,57.476040200,1.000000000,saturated
116,3.859955560,347396,39.208333300,107,100.950000000,667.014972000,467.974506000,430555.180000000,206.757000000,57.284833000,1.000000000,saturated
117,3.893288890,350396,39.958333300,108,102.800000000,666.960942000,467.990287000,431131.780000000,206.757000000,57.306746900,1.000000000,saturated
118,3.926622220,353396,40.333333300,107,102.800000000,666.956099000,467.979074000,433258.780000000,206.871000000,57.479899100,1.000000000,saturated
119,3.959955560,356396,39.791666700,107,103.550000000,666.920075000,468.000793000,435071.180000000,206.284000000,57.500286000,1.000000000,saturated
120,3.992800000,359352,40.333333300,104,97.800000000,666.949944000,468.226366000,426772.003000000,206.284000000,57.216949900,1.000000000,saturated
121,4.026133330,362352,40.708333300,103,97.500000000,666.902657000,468.191692000,426412.203000000,206.398000000,57.240771800,1.000000000,saturated
122,4.059466670,365352,41.041666700,103,99.050000000,666.947007000,468.151978000,420876.197000000,207.099000000,57.008580400,1.000000000,saturated
123,4.092800000,368352,41.375000000,102,98.900000000,667.166753000,468.126466000,419619.397000000,207.099000000,57.055656200,1.000000000,saturated
124,4.126133330,371352,41.708333300,103,100.600000000,667.159047000,468.122041000,419910.597000000,207.800000000,57.020383600,1.000000000,saturated
125,4.159466670,374352,42.041666700,102,99.050000000,667.019499000,468.317621000,423348.003000000,207.686000000,57.160847300,1.000000000,saturated
126,4.192800000,377352,41.625000000,101,98.900000000,667.131962000,468.283132000,419462.997000000,205.697000000,57.023605600,1.000000000,saturated
127,4.226133330,380352,42.750000000,102,99.900000000,667.145946000,468.202437000,426557.403000000,209.544000000,57.170072900,1.000000000,saturated
128,4.258988890,383309,42.083333300,107,99.500000000,667.124377000,468.146027000,425460.403000000,209.544000000,57.093989600,1.000000000,saturated
129,4.292322220,386309,42.250000000,108,99.500000000,667.131611000,468.091154000,425699.603000000,210.245000000,57.106689500,1.000000000,saturated
130,4.325655560,389309,41.958333300,108,100.350000000,667.066929000,467.896204000,427114.603000000,210.245000000,57.188738200,1.000000000,saturated
131,4.358988890,392309,42.125000000,109,101.350000000,667.020593000,467.929136000,431867.180000000,210.245000000,57.346373100,1.000000000,saturated
132,4.392322220,395309,40.750000000,107,100.900000000,666.960830000,467.913425000,427604.403000000,210.245000000,57.175551800,1.000000000,saturated
133,4.425655560,398309,39.875000000,108,101.200000000,666.897311000,468.084506000,425559.803000000,210.245000000,57.014043600,1.000000000,saturated
134,4.458988890,401309,42.291666700,112,103.500000000,666.928593000,468.044293000,421294.603000000,210.245000000,56.922344400,1.000000000,saturated
135,4.492322220,404309,42.541666700,112,104.350000000,667.094684000,468.014012000,423738.603000000,210.131000000,56.893091500,1.000000000,saturated
136,4.525188890,407267,42.833333300,110,104.200000000,666.998493000,467.960318000,426033.603000000,210.473000000,56.974559200,1.000000000,saturated
137,4.558522220,410267,42.208333300,109,103.050000000,667.053472000,467.810403000,429327.403000000,209.772000000,56.919732400,1.000000000,saturated
138,4.591855560,413267,43.291666700,114,106.200000000,667.145284000,467.833156000,436467.780000000,209.544000000,57.305101200,1.000000000,saturated
139,4.625188890,416267,43.291666700,114,104.500000000,667.172680000,467.891480000,436337.980000000,209.544000000,57.122127900,1.000000000,saturated
140,4.658522220,419267,42.875000000,116,103.350000000,667.065283000,467.791496000,448541.620000000,209.088000000,57.496384600,1.000000000,saturated
141,4.691855560,422267,43.083333300,116,103.350000000,667.040625000,467.775028000,448013.220000000,209.088000000,57.492473100,1.000000000,saturated
142,4.725188890,425267,43.750000000,117,104.200000000,666.923716000,467.768059000,448921.420000000,209.903000000,57.433509600,1.000000000,saturated
143,4.758522220,428267,43.708333300,119,105.450000000,667.083951000,467.644205000,445658.220000000,209.903000000,57.264521000,1.000000000,saturated
144,4.791355560,431222,44.625000000,121,107.600000000,667.149623000,467.549439000,439872.000000000,206.871000000,57.066655100,1.000000000,saturated
145,4.824688890,434222,44.291666700,121,109.150000000,667.184624000,467.489192000,436766.380000000,207.686000000,56.863850500,1.000000000,saturated
146,4.858022220,437222,43.541666700,121,106.600000000,667.121516000,467.465067000,437719.180000000,207.686000000,56.896118300,1.000000000,saturated
147,4.891355560,440222,44.541666700,123,109.150000000,667.097378000,467.542037000,436180.202000000,207.686000000,56.809706400,1.000000000,saturated
148,4.924688890,443222,44.541666700,123,110.000000000,666.982057000,467.725539000,433601.202000000,207.686000000,56.627419500,1.000000000,saturated
149,4.958022220,446222,45.875000000,124,110.300000000,666.963646000,467.773094000,436992.402000000,207.686000000,56.797397300,1.000000000,saturated
150,4.991355560,449222,45.750000000,122,111.050000000,667.307926000,467.671024000,414722.803000000,206.039000000,56.279072100,1.000000000,saturated
151,5.024688890,452222,45.041666700,120,109.900000000,667.230788000,467.663448000,423388.000000000,207.213000000,56.608859200,1.000000000,saturated
152,5.057555560,455180,46.166666700,120,108.350000000,667.205490000,467.490790000,433933.598000000,207.213000000,56.882959500,1.000000000,saturated
153,5.090888890,458180,46.416666700,116,106.200000000,667.245548000,467.534524000,433323.998000000,207.213000000,56.873012600,1.000000000,saturated
154,5.124222220,461180,45.625000000,117,106.750000000,667.351010000,467.401506000,430280.819000000,206.512000000,56.896077300,1.000000000,saturated
155,5.157555560,464180,45.208333300,124,108.000000000,667.188456000,467.395942000,441120.380000000,207.572000000,57.092594100,1.000000000,saturated
156,5.190888890,467180,45.666666700,126,113.100000000,667.120629000,467.506139000,440448.380000000,206.512000000,57.052638400,1.000000000,saturated
157,5.224222220,470180,45.125000000,126,112.250000000,667.035059000,467.517921000,442150.780000000,209.316000000,57.115686400,1.000000000,saturated
158,5.257555560,473180,44.541666700,127,112.400000000,667.024758000,467.519329000,442496.380000000,209.316000000,57.092777700,1.000000000,saturated
159,5.290888890,476180,44.125000000,122,104.900000000,667.035824000,467.341708000,443509.980000000,207.914000000,57.168305000,1.000000000,saturated
160,5.323744440,479137,43.666666700,116,100.500000000,667.050112000,467.474553000,443563.000000000,208.501000000,57.110958900,1.000000000,saturated
161,5.357077780,482137,44.666666700,116,101.350000000,667.003154000,467.493669000,443591.000000000,209.202000000,57.111497100,1.000000000,saturated
162,5.390411110,485137,44.333333300,117,103.050000000,666.926160000,467.566534000,439606.780000000,207.800000000,56.886272000,1.000000000,saturated
163,5.423744440,488137,43.416666700,113,99.050000000,666.987751000,467.527146000,437702.780000000,208.501000000,56.875825500,1.000000000,saturated
164,5.457077780,491137,45.583333300,117,99.500000000,666.900377000,467.483631000,432972.402000000,208.501000000,56.713637800,1.000000000,saturated
165,5.490411110,494137,45.875000000,116,99.500000000,666.803923000,467.576220000,432845.803000000,208.615000000,56.614903200,1.000000000,saturated
166,5.523744440,497137,44.375000000,114,98.050000000,666.870965000,467.522573000,434043.203000000,209.316000000,56.708434800,1.000000000,saturated
167,5.557077780,500137,44.333333300,114,98.050000000,666.995068000,467.600654000,422732.819000000,206.854000000,56.385683500,1.000000000,saturated
168,5.589922220,503093,44.583333300,115,99.050000000,666.979297000,467.659140000,421773.219000000,207.555000000,56.486770800,1.000000000,saturated
169,5.623255560,506093,44.250000000,114,98.900000000,667.002588000,467.816651000,429186.203000000,209.316000000,56.708475500,1.000000000,saturated
170,5.656588890,509093,43.000000000,112,94.350000000,667.039059000,467.841542000,431133.780000000,207.441000000,56.799721600,1.000000000,saturated
171,5.689922220,512093,43.583333300,112,93.650000000,667.113145000,467.701816000,428872.380000000,207.441000000,56.625883200,1.000000000,saturated
172,5.723255560,515093,41.833333300,107,89.950000000,667.013562000,467.681038000,428888.780000000,207.441000000,56.692422400,1.000000000,saturated
173,5.756588890,518093,41.583333300,108,90.950000000,666.921765000,467.525968000,430738.980000000,208.142000000,56.690291100,1.000000000,saturated
174,5.789922220,521093,41.583333300,110,90.400000000,666.892269000,467.457818000,431230.380000000,207.441000000,56.638185200,1.000000000,saturated
175,5.823255560,524093,40.500000000,107,88.400000000,666.865402000,467.459640000,437470.203000000,207.572000000,56.889402600,1.000000000,saturated
176,5.856111110,527050,41.083333300,101,87.650000000,666.862966000,467.485098000,437184.803000000,207.572000000,56.869700500,1.000000000,saturated
177,5.889444440,530050,40.791666700,101,87.650000000,666.875095000,467.506356000,429626.980000000,208.142000000,56.628212800,1.000000000,saturated
178,5.922777780,533050,41.583333300,102,89.500000000,666.857440000,467.540101000,429117.781000000,207.099000000,56.710400200,1.000000000,saturated
179,5.956111110,536050,42.000000000,102,89.500000000,666.923232000,467.574252000,428285.981000000,207.099000000,56.718051800,1.000000000,saturated
180,5.989444440,539050,42.250000000,102,87.350000000,667.027597000,467.703098000,427876.581000000,206.757000000,56.845332300,1.000000000,saturated
181,6.022777780,542050,41.333333300,101,88.900000000,666.928191000,467.756200000,427939.580000000,206.757000000,56.837750500,1.000000000,saturated
182,6.056111110,545050,42.041666700,102,89.900000000,667.021175000,467.717310000,428086.980000000,206.757000000,56.890667500,1.000000000,saturated
183,6.089444440,548050,42.875000000,102,90.050000000,667.076529000,467.642532000,426377.780000000,205.355000000,56.809987300,1.000000000,saturated
184,6.122300000,551007,42.375000000,101,89.050000000,667.097381000,467.644715000,425968.380000000,206.757000000,56.751575800,1.000000000,saturated
185,6.155633330,554007,43.750000000,101,89.650000000,667.350502000,467.725033000,412417.819000000,204.654000000,56.355379500,1.000000000,saturated
186,6.188966670,557007,44.416666700,102,90.500000000,667.465047000,467.614575000,406759.000000000,202.551000000,56.317131600,1.000000000,saturated
187,6.222300000,560007,44.041666700,104,89.650000000,667.607752000,467.515082000,400025.782000000,205.697000000,55.981613500,1.000000000,saturated
188,6.255633330,563007,42.875000000,101,86.800000000,667.615828000,467.468518000,400559.582000000,206.398000000,55.930109400,1.000000000,saturated
189,6.288966670,566007,42.708333300,102,86.950000000,667.458571000,467.495619000,406203.000000000,206.740000000,56.104889800,1.000000000,saturated
190,6.322300000,569007,44.083333300,100,89.500000000,667.325897000,467.534003000,421167.003000000,207.327000000,56.560283200,1.000000000,saturated
191,6.355633330,572007,44.291666700,100,89.800000000,667.248723000,467.507429000,421732.403000000,207.327000000,56.580995600,1.000000000,saturated
192,6.388477780,574963,43.916666700,103,88.250000000,667.144844000,467.518964000,424171.003000000,206.398000000,56.686945300,1.000000000,saturated
193,6.421811110,577963,43.875000000,106,88.550000000,666.918227000,467.615293000,426425.803000000,210.131000000,56.735722600,1.000000000,saturated
194,6.455144440,580963,44.750000000,104,90.400000000,666.875411000,467.591098000,426485.203000000,208.729000000,56.687285600,1.000000000,saturated
195,6.488477780,583963,45.750000000,108,92.700000000,666.809634000,467.654530000,436038.000000000,210.131000000,57.112931300,1.000000000,saturated
196,6.521811110,586963,45.833333300,114,94.700000000,666.716032000,467.756662000,437962.000000000,208.957000000,57.086898300,1.000000000,saturated
197,6.555144440,589963,45.708333300,114,97.250000000,666.851901000,467.723728000,436005.180000000,208.256000000,57.074601400,1.000000000,saturated
198,6.588477780,592963,45.083333300,112,97.100000000,666.924787000,467.636296000,439541.000000000,206.985000000,57.320178900,1.000000000,saturated
199,6.621811110,595963,45.541666700,110,97.100000000,666.986979000,467.572171000,438374.000000000,207.572000000,57.281990100,1.000000000,saturated
200,6.654666670,598920,45.625000000,110,97.100000000,666.767285000,467.699714000,438911.000000000,206.740000000,57.202008400,1.000000000,saturated
201,6.688000000,601920,46.625000000,112,98.100000000,666.652905000,467.624178000,439251.000000000,206.740000000,57.035096600,1.000000000,saturated
202,6.721333330,604920,46.375000000,112,98.800000000,666.724860000,467.591983000,437577.000000000,207.914000000,57.021267300,1.000000000,saturated
203,6.754666670,607920,46.875000000,110,99.500000000,666.830315000,467.542295000,436014.000000000,209.316000000,57.036246500,1.000000000,saturated
204,6.788000000,610920,46.125000000,110,98.650000000,666.783152000,467.759844000,428871.980000000,208.387000000,56.703501600,1.000000000,saturated
205,6.821333330,613920,45.375000000,112,98.800000000,666.763392000,467.774276000,435103.000000000,208.387000000,56.958847400,1.000000000,saturated
206,6.854666670,616920,46.833333300,114,100.800000000,667.016747000,467.685355000,436031.000000000,209.544000000,56.865509900,1.000000000,saturated
207,6.888000000,619920,46.666666700,113,100.650000000,667.054716000,467.504845000,436253.000000000,209.544000000,56.989457700,1.000000000,saturated
